PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
m,10,3,verb,f,positiv,1,540.4745575206107,Daniela,f,reparieren,"['m', 'f']"
f,17,6,adjektiv,f,positiv,1,453.15060992390954,Sabine,f,einfühlsam,"['m', 'f']"
f,9,6,adjektiv,town,positiv,1,491.1266655398663,Karlsruhe,town,einfühlsam,town
m,15,6,adjektiv,m,positiv,1,493.7820309564245,Markus,m,tapfer,"['m', 'f']"
m,28,0,substantiv,m,positiv,1,469.108504013775,Florian,m,Computer,"['m', 'f']"
f,14,20,substantiv,town,negativ,1,483.56089949982106,Aachen,town,Handtasche,town
m,9,4,verb,town,positiv,1,517.4939831738357,Karlsruhe,town,bauen,town
f,24,26,adjektiv,town,negativ,1,672.3949552247745,Bielefeld,town,zickig,town
f,2,11,substantiv,f,neutral,1,424.3690189675249,Anja,f,Diät,"['m', 'f']"
m,11,22,verb,town,negativ,1,579.6250640793232,Frankfurt,town,fluchen,town
m,27,14,verb,town,neutral,1,488.20981437586397,Potsdam,town,rechnen,town
m,29,24,adjektiv,m,negativ,1,631.5218833678387,Thorsten,m,aggressiv,"['m', 'f']"
f,10,30,definition,m,NA,1,586.7972046726209,Horst,m,Königin,"['m', 'f']"
f,16,13,verb,town,neutral,1,436.71947132941114,Rostock,town,kochen,town
f,14,9,substantiv,town,neutral,1,549.0035744766715,Suhl,town,Haushalt,town
m,1,29,definition,town,NA,1,508.5003820317979,Duisburg,town,Bruder,town
m,22,20,substantiv,town,negativ,1,706.404864305398,Wolfsburg,town,Schweiss,town
f,16,4,verb,f,positiv,1,454.298800545871,Renate,f,pflegen,"['m', 'f']"
m,30,19,substantiv,town,negativ,1,492.3108942617205,Dresden,town,Glatze,town
m,3,12,verb,m,neutral,1,651.2665715894173,Dieter,m,kämpfen,"['m', 'f']"
m,5,10,substantiv,town,neutral,1,536.0955093454436,Marburg,town,Stammtisch,town
m,28,13,verb,town,neutral,1,601.1484699870948,Mainz,town,rasieren,town
m,13,17,adjektiv,town,neutral,0,408.0789597560397,Chemnitz,town,groß,"['m', 'f']"
f,9,12,verb,f,neutral,1,507.5075184136608,Julia,f,schminken,"['m', 'f']"
m,30,12,verb,f,neutral,1,519.125754809636,Franziska,f,kämpfen,"['m', 'f']"
m,0,4,verb,town,positiv,1,517.788434004899,Fulda,town,bauen,town
f,7,20,substantiv,f,negativ,1,485.1812171658594,Helga,f,Handtasche,"['m', 'f']"
m,0,26,adjektiv,town,negativ,1,503.5058925087128,Weimar,town,brutal,town
m,10,14,verb,town,neutral,1,478.81253064286966,Magdeburg,town,rechnen,town
m,15,2,substantiv,town,positiv,1,649.5043364449771,Minden,town,Muskeln,town
m,9,26,adjektiv,m,negativ,1,674.9936095229714,Helmut,m,brutal,"['m', 'f']"
f,30,29,definition,town,NA,1,536.317325246614,Ulm,town,Schwester,town
f,26,8,adjektiv,m,positiv,1,429.4434069134354,Hubert,m,zärtlich,"['m', 'f']"
f,18,17,adjektiv,m,neutral,1,553.4770480605857,Friedrich,m,häuslich,"['m', 'f']"
f,4,25,adjektiv,town,negativ,1,454.3664069036595,Stuttgart,town,hysterisch,town
m,25,8,adjektiv,m,positiv,0,507.9184644976067,Kurt,m,stark,town
m,14,17,adjektiv,m,neutral,1,737.1316745563945,Manfred,m,groß,"['m', 'f']"
m,2,18,substantiv,town,negativ,1,445.91672964025975,Flensburg,town,Bierbauch,town
m,6,25,adjektiv,f,negativ,1,530.7286261243007,Eva,f,grob,"['m', 'f']"
m,21,22,verb,town,negativ,0,486.3755030318089,Würzburg,town,fluchen,"['m', 'f']"
f,17,18,substantiv,town,negativ,1,473.419107735765,Düsseldorf,town,Mode,town
f,11,4,verb,town,positiv,1,550.3973270346023,Frankfurt,town,pflegen,town
