PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,24,22,verb,f,negativ,1,662.6546111307334,Hanna,f,putzen,f
f,17,22,verb,m,negativ,1,809.2735249871055,Peter,m,putzen,m
f,12,13,verb,f,neutral,1,517.8269863907303,Katja,f,kochen,f
m,6,6,adjektiv,m,positiv,1,665.0443003231032,Fritz,m,tapfer,m
f,18,14,verb,f,neutral,1,467.94690386627735,Sandra,f,nähen,f
m,24,12,verb,m,neutral,1,845.8399042336566,Ingo,m,kämpfen,m
m,14,23,verb,m,negativ,1,819.8452596629124,Manfred,m,boxen,m
f,28,15,adjektiv,f,neutral,1,2032.2605247314982,Carolin,f,sensibel,f
m,19,28,definition,m,NA,1,626.6246129047204,Thomas,m,Vater,m
f,20,1,substantiv,m,positiv,1,683.5391090208418,Ulrich,m,Blumen,m
m,24,22,verb,f,negativ,1,603.5353655282734,Hanna,f,fluchen,f
f,0,29,definition,m,NA,1,730.8529436003823,Achim,m,Schwester,m
f,1,27,definition,m,NA,1,635.0125504777964,Albert,m,Frau,m
f,21,12,verb,m,neutral,1,539.578912962412,Volker,m,schminken,m
m,18,17,adjektiv,f,neutral,1,460.09702350437465,Sandra,f,groß,f
m,16,12,verb,f,neutral,1,775.4865492681233,Renate,f,kämpfen,f
m,10,2,substantiv,m,positiv,1,538.8500493777997,Horst,m,Muskeln,m
f,15,12,verb,f,neutral,1,611.7313792674679,Petra,f,schminken,f
f,22,7,adjektiv,f,positiv,1,821.0716725170357,Ulrike,f,fürsorglich,f
m,25,26,adjektiv,f,negativ,1,533.5161312401624,Linda,f,brutal,f
f,7,26,adjektiv,m,negativ,1,825.1794571656887,Georg,m,zickig,m
m,29,0,substantiv,m,positiv,1,635.182963197849,Thorsten,m,Computer,m
f,2,21,verb,f,negativ,1,492.8707419518332,Anja,f,spülen,f
f,3,5,verb,f,positiv,1,632.34209934501,Birgit,f,backen,f
f,8,25,adjektiv,m,negativ,1,580.0513752446363,Hans,m,hysterisch,m
f,1,26,adjektiv,f,negativ,1,527.6164987449192,Angelika,f,zickig,f
m,2,18,substantiv,f,negativ,1,518.5597610869195,Anja,f,Bierbauch,f
f,13,5,verb,m,positiv,1,509.5038615243084,Klaus,m,backen,m
f,8,24,adjektiv,f,negativ,1,918.4552785339974,Heike,f,geschwätzig,f
m,26,11,substantiv,f,neutral,1,556.264832541558,Nina,f,Auto,f
m,25,5,verb,m,positiv,1,543.1575800834594,Kurt,m,beschützen,m
f,13,20,substantiv,f,negativ,1,682.4132676080126,Kerstin,f,Handtasche,f
m,27,1,substantiv,f,positiv,1,586.7544618101306,Katharina,f,Sport,f
f,7,11,substantiv,f,neutral,1,553.9866100300515,Helga,f,Diät,f
f,16,4,verb,m,positiv,1,572.1104218552568,Norbert,m,pflegen,m
f,16,27,definition,f,NA,1,594.1623865602992,Renate,f,Frau,f
m,2,21,verb,m,negativ,1,608.2080264391152,Bernhard,m,saufen,m
f,9,0,substantiv,m,positiv,1,657.4410993575839,Helmut,m,Ballett,m
