PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,13,15,adjektiv,m,neutral,1,507.42482633964414,Klaus,m,sensibel,"['m', 'f']"
f,6,17,adjektiv,town,neutral,0,533.5457439423408,Magdeburg,town,häuslich,"['m', 'f']"
m,11,24,adjektiv,f,negativ,1,457.87690893675403,Karin,f,aggressiv,"['m', 'f']"
f,30,1,substantiv,town,positiv,1,593.5002912381151,Frankfurt,town,Blumen,town
f,14,9,substantiv,f,neutral,1,521.5749487714163,Monika,f,Haushalt,"['m', 'f']"
m,28,20,substantiv,town,negativ,1,442.096411694763,Freiburg,town,Schweiss,town
f,22,6,adjektiv,town,positiv,1,491.8820688104404,Kassel,town,einfühlsam,town
f,23,7,adjektiv,f,positiv,1,557.0333659725009,Kerstin,f,fürsorglich,"['m', 'f']"
m,27,5,verb,town,positiv,0,989.1740430697098,Konstanz,town,beschützen,"['m', 'f']"
f,11,1,substantiv,f,positiv,1,501.6092827440559,Karin,f,Blumen,"['m', 'f']"
f,16,30,definition,town,NA,1,523.8129427063996,Erfurt,town,Königin,town
m,14,22,verb,f,negativ,1,538.0952048374752,Monika,f,fluchen,"['m', 'f']"
m,22,3,verb,m,positiv,1,478.10908928369145,Wolfgang,m,reparieren,"['m', 'f']"
f,9,20,substantiv,town,negativ,1,523.688066500057,Berlin,town,Handtasche,town
m,12,20,substantiv,m,negativ,1,569.3723643647672,Jürgen,m,Schweiss,"['m', 'f']"
m,25,9,substantiv,town,neutral,0,567.8288721052525,Weimar,town,Skat,"['m', 'f']"
m,30,14,verb,town,neutral,1,597.5563933404828,Frankfurt,town,rechnen,town
f,28,18,substantiv,town,negativ,1,744.588488201714,Karlsruhe,town,Mode,town
m,9,26,adjektiv,town,negativ,1,488.27937628945506,Berlin,town,brutal,town
f,21,29,definition,town,NA,1,897.545358418455,Essen,town,Schwester,town
f,29,8,adjektiv,m,positiv,1,597.549129847522,Thorsten,m,zärtlich,"['m', 'f']"
m,11,17,adjektiv,m,neutral,1,463.0764524541462,Jens,m,groß,"['m', 'f']"
