PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,15,11,substantiv,m,neutral,1,1030.5259467334054,Markus,m,Diät,"['m', 'f']"
f,28,28,definition,town,NA,0,507.63909938268625,Erfurt,town,Mutter,"['m', 'f']"
f,29,29,definition,town,NA,1,1096.2027296766337,Hannover,town,Schwester,town
f,11,12,verb,town,neutral,1,705.8796578895681,Halle,town,schminken,town
f,28,12,verb,town,neutral,1,703.8224131837296,Bottrop,town,schminken,town
m,2,26,adjektiv,town,negativ,1,2498.5734220410905,Ulm,town,brutal,town
f,15,5,verb,town,positiv,1,598.8459427105681,Potsdam,town,backen,town
m,8,21,verb,town,negativ,1,546.3984947807603,Paderborn,town,saufen,town
f,25,3,verb,f,positiv,1,474.666752338635,Linda,f,tanzen,"['m', 'f']"
f,11,3,verb,town,positiv,1,536.0318140992604,Bochum,town,tanzen,town
f,18,17,adjektiv,m,neutral,1,679.1776608479267,Friedrich,m,häuslich,"['m', 'f']"
m,28,5,verb,f,positiv,1,603.0087622867768,Carolin,f,beschützen,"['m', 'f']"
m,21,5,verb,m,positiv,1,472.44384411987994,Volker,m,beschützen,"['m', 'f']"
f,6,11,substantiv,town,neutral,1,658.7909915924683,Mainz,town,Diät,town
m,12,25,adjektiv,town,negativ,1,969.4145484970704,Ahlen,town,grob,town
m,10,19,substantiv,town,negativ,1,458.5105090172874,Dortmund,town,Glatze,town
f,10,5,verb,town,positiv,1,415.4729162505646,Rudolstadt,town,backen,town
m,0,3,verb,town,positiv,1,651.7546224449688,Berlin,town,reparieren,town
f,5,25,adjektiv,town,negativ,1,505.366743538616,Minden,town,hysterisch,town
f,17,28,definition,m,NA,1,547.0589139122239,Peter,m,Mutter,"['m', 'f']"
m,0,20,substantiv,m,negativ,1,787.862982585807,Achim,m,Schweiss,"['m', 'f']"
m,3,2,substantiv,town,positiv,1,547.166748846621,Duisburg,town,Muskeln,town
f,22,19,substantiv,town,negativ,1,444.11454528437844,Augsburg,town,Küche,town
