Age;Age.Group;Sex;Condition;Gains.e.c;Losses.e.c;Accuracy.PM.Task;Accuracy.OngoingTask;RT.Mdn.OngoingTask;RT.Mdn.PM.Task;Monetary.Motivation;PayoffRetained;Importance.OngoingTask;Importance.PMTask;N.Nontargets;N.Targets;LossAversion;Education;Income;LifeSatisfaction;Health;CognitiveSpeed;Vocabulary;SocialValueOrientation;GainOrientation;MaintenanceOrientation;LossOrientation;PositiveAffect;Negative.Affect;PRMQ.Prospective;PRMQ.Retrospective;ZAge;ZAccuracy.PM.Task;ZAccuracy.OngoingTask;ZRT.Mdn.OngoingTask;ZMonetary.Motivation;ZImportance.OngoingTask;ZImportance.PMTask;ZCognitiveSpeed;ZGainOrientation;ZMaintenanceOrientation;ZLossOrientation;ZAge.x.Gains;ZAge.x.Losses
75;Older;2;Losses;0;1;,0833333333333333;,986928104575163;904;865;0;0;90;50;306;12;3;6;2;6;6;26;35;34,8753283446022;8;8;8;2,8;1,1;4,375;4,375;1,14647377426247;-1,25021130324668;,82083312988169;-1,1403437293838;-1,36348038743468;,28043351442033;-1,07860154414211;-,650684653980865;1,23682466773042;1,28527712752149;1,23507477138918;0;1,14647377426247
80;Older;-9;Losses;0;1;,5;,990196078431373;1903,5;2084,5;0;0;50; ;306;12;6;1;3;5;5;26;30;46,679199893723;8;8;8;2,2;1,1;3,375;3,625;1,38367524479953;,112004402470041;,916583450405003;1,10151524533498;-1,36348038743468;-1,49852798674829; ;-,650684653980865;1,23682466773042;1,28527712752149;1,23507477138918;0;1,38367524479953
66;Older;2;Losses;0;1;,916666666666667;,967213114754098;1609;1250,5;90;0;80;80;305;12;1;2;1;6;5;24;32;39,2339772317635;7,66666666666667;7,5;7,66666666666667;3,7;1,5;3,5;3,5;,719511127295757;1,47422010818677;,243191851970553;,440957498406832;,968018385840813;-,164306860871825;,102639687547569;-,849704599123696;,968274076425868;,970086551290061;1,06465433532168;0;,719511127295757
76;Older;1;Losses;0;1;,75;,980263157894737;1937,5;2019,5;0;0;5;90;304;12;3;5;4;6;6;36;36;37,4824114277185;5,5;6,83333333333333;7,5;3,7;1,4;4,25;3,875;1,19391406836988;,929333825900077;,625552870919669;1,17777658114332;-1,36348038743468;-3,49985967556299;,496386764777462;,344415071733289;-,777304767053739;,549832449648158;,979444117287931;0;1,19391406836988
72;Older;2;Losses;0;1;0;,947019867549669;1052,5;1112,5;75;96;85;50;302;12;0;1;2;6;6;21;27;20,9245017449212;6,66666666666667;6,16666666666667;5,5;3,3;1,2;4,875;4,75;1,00415289194023;-1,52265444439003;-,348462175052016;-,807261130338541;,579435256961563;,0580633267742523;-1,07860154414211;-1,14823451683794;,162622302512203;,129578348006255;-,043078499117061;0;1,00415289194023
30;Younger;1;Control;-1;-1;,416666666666667;,990066225165563;1007,5;901,5;20; ;80;80;302;12;2;6;3;5;6;38;34;45;5,83333333333333;5,16666666666667;1,5;2,6;1;4,25;4,5;-,988339460571094;-,160438738673304;,912778801907385;-,908195251261347;-,845369548929019;-,164306860871825;,102639687547569;,54343501687612;-,508754175749185;-,5008028044566;-2,08812373192704;,988339460571094;,988339460571094
35;Younger;2;Control;-1;-1;,666666666666667;,973684210526316;2580,5;2685,5;0; ;99;100;304;12;3;4;2;6;6;35;31;24,1962525877913;7,33333333333333;7,5;6,83333333333333;3,3;1;3;3,25;-,751137990034032;,656890684756732;,432792357234579;2,62001302010697;-1,36348038743468;,680699852183269;,890133842007355;,244905099161874;,699723485121313;,970086551290061;,638603245152933;,751137990034032;,751137990034032
25;Younger;1;Control;-1;-1;,666666666666667;,967105263157895;1399;1271;0; ;95;70;304;12;1;2;2;5;5;33;28;37,4824114277185;7,16666666666667;1,83333333333333;2,16666666666667;3,7;1,2;2,25;3,75;-1,22554093110816;,656890684756732;,240031843549486;-,0300683992329314;-1,36348038743468;,502803702066407;-,291107389682324;,0458851540190427;,565448189469036;-2,60207331266612;-1,74728285979205;1,22554093110816;1,22554093110816
32;Younger;2;Control;-1;-1;,583333333333333;,970491803278689;1648;1485;0; ;100;100;305;12;3;6;5;6;5;37;30;7,81529354676688;7,16666666666667;7,16666666666667;6,83333333333333;2,3;2;1,875;3,5;-,893458872356269;,384447543613387;,339256107970994;,528433736539931;-1,36348038743468;,725173889712485;,890133842007355;,443925044304704;,565448189469036;,75995950046911;,638603245152933;,893458872356269;,893458872356269
24;Younger;1;Control;-1;-1;,583333333333333;,960132890365448;1236;942,5;100; ;90;80;301;12;3;6;9;7;6;40;33;7,81529354676688;6;3,66666666666667;1;1,9;1;4,5;4,625;-1,27298122521557;,384447543613387;,0357441230659514;-,395674215019986;1,22707380509365;,28043351442033;,102639687547569;,742454962018951;-,374478880096907;-1,44637453315088;-2,34375438602829;1,27298122521557;1,27298122521557
19;Younger;2;Control;-1;-1;,333333333333333;,966666666666667;1021,5;1131,5;0; ;85;55;300;12;5;4;8;6;4;40;29;34,3593802975894;7,16666666666667;5,33333333333333;5,33333333333333;2,1;1,3;2,75;3,25;-1,51018269575263;-,432881879816649;,227181142637148;-,87679352475203;-1,36348038743468;,0580633267742523;-,881728005527163;,742454962018951;,565448189469036;-,395739279046125;-,12828871715081;1,51018269575263;1,51018269575263
18;Younger;2;Control;-1;-1;,75;,973684210526316;1253,5;1364,5;10; ;95;90;304;12;4;1;9;7;6;32;30;39,0355128987469;5;4,66666666666667;5,16666666666667;3,9;1,1;3,125;3,5;-1,55762298986004;,929333825900077;,432792357234579;-,356422056883339;-1,10442496818185;,502803702066407;,496386764777462;-,0536248185523727;-1,18013065401057;-,815993380688028;-,213498935184559;1,55762298986004;1,55762298986004
20;Younger;2;Control;-1;-1;,333333333333333;,917491749174917;1100;1018;23; ;78;46;303;12;3;4;1;6;6;31;32;37,0928372970415;6,83333333333333;5,16666666666667;2,66666666666667;3,1;1,6;2,75;3,625;-1,46274240164522;-,432881879816649;-1,21362417549484;-,700719558253356;-,767652923153169;-,253254935930256;-1,23610037503407;-,153134791123788;,29689759816448;-,5008028044566;-1,4916522056908;1,46274240164522;1,46274240164522
