PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,20,3,verb,f,positiv,0,648.231269616673,Susanne,f,tanzen,town
f,3,21,verb,f,negativ,1,744.1543548132472,Birgit,f,spülen,"['m', 'f']"
m,13,4,verb,town,positiv,1,652.1932256753189,Cottbus,town,bauen,town
f,14,17,adjektiv,m,neutral,1,576.2425112688732,Manfred,m,häuslich,"['m', 'f']"
m,17,22,verb,town,negativ,1,617.7083958994842,Dü̈sseldorf,town,fluchen,town
m,8,24,adjektiv,m,negativ,1,623.910580814055,Hans,m,aggressiv,"['m', 'f']"
f,0,1,substantiv,town,positiv,1,634.0191281294096,Dresden,town,Blumen,town
m,19,25,adjektiv,town,negativ,1,741.6772243399805,Krefeld,town,grob,town
m,24,3,verb,town,positiv,1,571.6030948067612,Hamburg,town,reparieren,town
m,12,30,definition,town,NA,0,578.0044670481743,Aachen,town,König,"['m', 'f']"
f,26,19,substantiv,town,negativ,1,1057.0209342248802,München,town,Küche,town
f,20,14,verb,m,neutral,1,784.158601163,Ulrich,m,nähen,"['m', 'f']"
f,25,25,adjektiv,town,negativ,1,828.7894131796065,Bremen,town,hysterisch,town
m,27,21,verb,town,negativ,1,513.9052589086077,Lübeck,town,saufen,town
m,8,1,substantiv,town,positiv,1,579.0663338496813,Kassel,town,Sport,town
m,16,5,verb,town,positiv,1,698.7075172961852,Chemnitz,town,beschützen,town
m,2,20,substantiv,f,negativ,1,589.505928826128,Anja,f,Schweiss,"['m', 'f']"
f,8,6,adjektiv,town,positiv,1,980.4313118007997,Kassel,town,einfühlsam,town
f,3,14,verb,town,neutral,1,568.2001483428678,Mainz,town,nähen,town
m,11,0,substantiv,f,positiv,1,581.4470833583698,Karin,f,Computer,"['m', 'f']"
m,22,12,verb,town,neutral,0,622.9517997399228,Jena,town,kämpfen,"['m', 'f']"
m,21,9,substantiv,f,neutral,1,554.8836514138031,Tanja,f,Skat,"['m', 'f']"
f,3,10,substantiv,m,neutral,0,619.8944279231,Dieter,m,Tratsch,town
m,14,12,verb,town,neutral,1,766.743259268992,Flensburg,town,kämpfen,town
f,13,7,adjektiv,town,positiv,1,604.3762545239701,Braunschweig,town,fürsorglich,town
f,9,30,definition,town,NA,1,544.2434722848759,Wolfsburg,town,Königin,town
m,25,23,verb,town,negativ,1,667.9016467176666,Bremen,town,boxen,town
m,12,16,adjektiv,m,neutral,1,642.7559927309119,Jürgen,m,sachlich,"['m', 'f']"
m,28,5,verb,m,positiv,1,687.8541825846582,Florian,m,beschützen,"['m', 'f']"
f,14,8,adjektiv,town,positiv,1,1467.2459767931514,Ahlen,town,zärtlich,town
f,7,14,verb,f,neutral,1,595.1393263668763,Helga,f,nähen,"['m', 'f']"
f,15,21,verb,m,negativ,1,671.7404027606904,Markus,m,spülen,"['m', 'f']"
m,15,6,adjektiv,town,positiv,1,587.8769508415189,Hannover,town,tapfer,town
m,19,10,substantiv,town,neutral,1,664.4646177097968,Halle,town,Stammtisch,town
m,24,6,adjektiv,m,positiv,1,592.3663482369932,Ingo,m,tapfer,"['m', 'f']"
m,1,4,verb,f,positiv,1,919.060383372738,Angelika,f,bauen,"['m', 'f']"
f,22,25,adjektiv,town,negativ,1,588.0599349917475,Passau,town,hysterisch,town
f,13,6,adjektiv,f,positiv,1,570.995755047079,Kerstin,f,einfühlsam,"['m', 'f']"
f,9,12,verb,m,neutral,1,702.3797717307616,Helmut,m,schminken,"['m', 'f']"
m,16,8,adjektiv,town,positiv,1,688.7020557081769,Suhl,town,stark,town
m,4,9,substantiv,town,neutral,1,749.2921586402588,Bielefeld,town,Skat,town
f,30,3,verb,town,positiv,1,532.3534136321655,Göttingen,town,tanzen,town
f,24,5,verb,town,positiv,1,449.0693649611899,Rostock,town,backen,town
m,10,24,adjektiv,town,negativ,1,432.42004221207253,Würzburg,town,aggressiv,town
m,18,0,substantiv,town,positiv,1,470.6606565918605,Gera,town,Computer,town
f,5,10,substantiv,f,neutral,1,461.79919514912626,Erna,f,Tratsch,"['m', 'f']"
m,6,27,definition,town,NA,1,699.0625903571299,Paderborn,town,Mann,town
m,5,19,substantiv,f,negativ,1,607.2942231484717,Erna,f,Glatze,"['m', 'f']"
m,13,13,verb,f,neutral,1,703.4609147252127,Kerstin,f,rasieren,"['m', 'f']"
m,10,1,substantiv,f,positiv,1,549.1228633807168,Daniela,f,Sport,"['m', 'f']"
f,18,7,adjektiv,m,positiv,1,735.3347981377283,Friedrich,m,fürsorglich,"['m', 'f']"
m,0,17,adjektiv,town,neutral,1,436.39848081249966,Dresden,town,groß,town
m,1,2,substantiv,town,positiv,1,540.9229385298886,Marburg,town,Muskeln,town
m,25,16,adjektiv,town,neutral,1,539.5671796275678,Wuppertal,town,sachlich,town
f,10,24,adjektiv,town,negativ,1,475.74593977731183,Fulda,town,geschwätzig,town
f,29,1,substantiv,town,positiv,1,529.3857180172381,Bochum,town,Blumen,town
f,26,15,adjektiv,f,neutral,1,571.08878363033,Nina,f,sensibel,"['m', 'f']"
m,3,1,substantiv,m,positiv,1,530.6411848433186,Dieter,m,Sport,"['m', 'f']"
m,1,11,substantiv,town,neutral,1,539.6224939203194,Heidelberg,town,Auto,town
f,2,13,verb,town,neutral,1,555.3289594068929,Kiel,town,kochen,town
m,19,15,adjektiv,f,neutral,1,729.7519656827944,Silke,f,dominant,"['m', 'f']"
f,4,4,verb,town,positiv,1,555.8002483555811,Rudolstadt,town,pflegen,town
f,17,28,definition,town,NA,1,672.8955775105305,Magdeburg,town,Mutter,town
m,25,0,substantiv,m,positiv,1,479.6578894803929,Kurt,m,Computer,"['m', 'f']"
f,16,9,substantiv,town,neutral,1,705.1644831954604,Suhl,town,Haushalt,town
f,5,11,substantiv,town,neutral,1,570.3696978247308,Nürnberg,town,Diät,town
f,24,26,adjektiv,m,negativ,0,451.78563197276844,Ingo,m,zickig,town
f,20,17,adjektiv,town,neutral,1,638.3163223258634,Freiburg,town,häuslich,town
f,2,15,adjektiv,m,neutral,1,621.0121677476081,Bernhard,m,sensibel,"['m', 'f']"
m,26,12,verb,m,neutral,1,752.2028637717995,Hubert,m,kämpfen,"['m', 'f']"
f,1,26,adjektiv,town,negativ,1,632.8589248075218,Marburg,town,zickig,town
m,18,16,adjektiv,f,neutral,1,564.8178748975283,Sandra,f,sachlich,"['m', 'f']"
m,2,6,adjektiv,town,positiv,1,696.1963042788852,Konstanz,town,tapfer,town
m,13,4,verb,town,positiv,1,588.8103096901887,Braunschweig,town,bauen,town
f,22,7,adjektiv,f,positiv,1,899.8543110926107,Ulrike,f,fürsorglich,"['m', 'f']"
f,7,3,verb,m,positiv,1,608.0113533982399,Georg,m,tanzen,"['m', 'f']"
m,23,29,definition,f,NA,1,516.6237608411279,Kerstin,f,Bruder,"['m', 'f']"
f,14,10,substantiv,town,neutral,1,788.8139414366719,Flensburg,town,Tratsch,town
f,25,12,verb,town,neutral,1,649.8216952154507,Wuppertal,town,schminken,town
f,26,16,adjektiv,m,neutral,1,652.0225335901273,Hubert,m,emotional,"['m', 'f']"
m,8,7,adjektiv,town,positiv,1,982.2751215587573,Essen,town,mutig,town
m,9,24,adjektiv,f,negativ,1,780.051933974903,Julia,f,aggressiv,"['m', 'f']"
m,21,8,adjektiv,m,positiv,1,730.8987594792029,Volker,m,stark,"['m', 'f']"
m,27,4,verb,m,positiv,1,916.346071916962,Stefan,m,bauen,"['m', 'f']"
f,16,29,definition,town,NA,1,663.5103064774626,Chemnitz,town,Schwester,town
f,25,13,verb,f,neutral,1,419.54969137140097,Linda,f,kochen,"['m', 'f']"
m,6,3,verb,m,positiv,1,578.8760862064919,Fritz,m,reparieren,"['m', 'f']"
f,9,28,definition,town,NA,0,932.9255533873493,Münster,town,Mutter,"['m', 'f']"
f,27,29,definition,f,NA,1,699.5905904242363,Katharina,f,Schwester,"['m', 'f']"
m,7,30,definition,town,NA,1,560.9414045639483,Rostock,town,König,town
m,20,10,substantiv,town,neutral,1,735.3448552818804,Freiburg,town,Stammtisch,town
m,4,9,substantiv,m,neutral,1,655.152260971704,Daniel,m,Skat,"['m', 'f']"
f,0,11,substantiv,m,neutral,0,688.565446167047,Achim,m,Diät,town
m,20,21,verb,f,negativ,1,1327.3242828348657,Susanne,f,saufen,"['m', 'f']"
f,4,5,verb,f,positiv,1,533.873718587131,Claudia,f,backen,"['m', 'f']"
