PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,17,19,substantiv,m,negativ,1,576.9026510351978,Peter,m,Küche,m
m,14,24,adjektiv,m,negativ,1,515.5345162584126,Manfred,m,aggressiv,m
m,29,2,substantiv,m,positiv,1,905.4413340240899,Thorsten,m,Muskeln,m
m,28,27,definition,m,NA,1,501.4830097120466,Florian,m,Mann,m
m,27,11,substantiv,m,neutral,1,450.30583495963583,Stefan,m,Auto,m
m,15,5,verb,m,positiv,1,494.47597390167175,Markus,m,beschützen,m
m,17,13,verb,m,neutral,1,486.6828046581304,Peter,m,rasieren,m
f,27,2,substantiv,m,positiv,1,557.0705215327507,Stefan,m,Familie,m
m,4,30,definition,f,NA,1,679.6877815475,Claudia,f,König,f
m,8,16,adjektiv,m,neutral,1,603.1121273795179,Hans,m,sachlich,m
m,4,14,verb,m,neutral,1,580.0656228655043,Daniel,m,rechnen,m
m,21,3,verb,m,positiv,1,584.7542075878209,Volker,m,reparieren,m
m,0,22,verb,m,negativ,1,542.5784562005447,Achim,m,fluchen,m
f,10,29,definition,f,NA,1,611.3461347740667,Daniela,f,Schwester,f
m,17,18,substantiv,f,negativ,1,607.4414485640318,Sabine,f,Bierbauch,f
f,0,24,adjektiv,f,negativ,1,556.6701913232919,Annette,f,geschwätzig,f
f,21,12,verb,f,neutral,1,476.1890128493178,Tanja,f,schminken,f
f,1,8,adjektiv,f,positiv,1,480.58594039184754,Angelika,f,zärtlich,f
f,23,15,adjektiv,m,neutral,0,464.161785925171,Hannes,m,sensibel,f
f,22,25,adjektiv,m,negativ,1,610.6555442102035,Wolfgang,m,hysterisch,m
m,19,21,verb,f,negativ,1,606.7628707000949,Silke,f,saufen,f
m,21,15,adjektiv,f,neutral,1,618.4763706003196,Tanja,f,dominant,f
f,8,23,verb,f,negativ,1,649.3372761062801,Heike,f,bügeln,f
m,28,20,substantiv,f,negativ,1,546.6127678237171,Carolin,f,Schweiss,f
f,13,14,verb,f,neutral,1,603.2573972388491,Kerstin,f,nähen,f
f,29,17,adjektiv,f,neutral,1,517.7104911379047,Anna,f,häuslich,f
f,20,21,verb,f,negativ,1,579.4652672336724,Susanne,f,spülen,f
m,11,15,adjektiv,m,neutral,1,565.0095193664129,Jens,m,dominant,m
m,22,17,adjektiv,f,neutral,1,594.0274532097192,Ulrike,f,groß,f
f,9,15,adjektiv,f,neutral,1,524.0333617819033,Julia,f,sensibel,f
f,18,3,verb,m,positiv,1,662.5353222266313,Friedrich,m,tanzen,m
f,16,6,adjektiv,m,positiv,1,568.1758435780466,Norbert,m,einfühlsam,m
f,28,10,substantiv,f,neutral,1,553.7301528545413,Carolin,f,Tratsch,f
f,15,27,definition,f,NA,1,485.3734203647946,Petra,f,Frau,f
f,9,0,substantiv,m,positiv,1,618.2584658104133,Helmut,m,Ballett,m
m,26,8,adjektiv,f,positiv,1,539.676690752458,Nina,f,stark,f
m,16,12,verb,f,neutral,1,545.9503931365361,Renate,f,kämpfen,f
f,15,20,substantiv,m,negativ,1,524.4929173959463,Markus,m,Handtasche,m
m,10,28,definition,f,NA,1,527.2195209167876,Daniela,f,Vater,f
f,24,11,substantiv,f,neutral,1,623.7329046009563,Hanna,f,Diät,f
m,19,25,adjektiv,m,negativ,1,467.11020534735326,Thomas,m,grob,m
m,15,16,adjektiv,f,neutral,1,561.6468014789007,Petra,f,sachlich,f
f,0,5,verb,m,positiv,1,621.8424408689316,Achim,m,backen,m
f,6,13,verb,m,neutral,1,652.6801590705418,Fritz,m,kochen,m
f,8,11,substantiv,m,neutral,1,584.7354901252402,Hans,m,Diät,m
m,22,21,verb,m,negativ,1,839.4105954807856,Wolfgang,m,saufen,m
f,4,9,substantiv,m,neutral,1,605.3937022722948,Daniel,m,Haushalt,m
m,7,19,substantiv,m,negativ,1,601.4881779667576,Georg,m,Glatze,m
m,30,14,verb,f,neutral,1,609.7093345663325,Franziska,f,rechnen,f
m,10,17,adjektiv,m,neutral,1,543.3182150245557,Horst,m,groß,m
f,7,28,definition,f,NA,1,490.5724051520792,Helga,f,Mutter,f
m,24,3,verb,f,positiv,1,607.7744517808696,Hanna,f,reparieren,f
f,7,14,verb,m,neutral,1,525.7997874032299,Georg,m,nähen,m
f,12,4,verb,m,positiv,1,544.1415040179436,Jürgen,m,pflegen,m
f,10,24,adjektiv,m,negativ,1,538.3276366130758,Horst,m,geschwätzig,m
m,29,26,adjektiv,f,negativ,1,528.9454385961108,Anna,f,brutal,f
m,5,30,definition,m,NA,1,547.2874345762193,Frank,m,König,m
f,13,27,definition,m,NA,1,697.7124187571917,Klaus,m,Frau,m
f,3,1,substantiv,m,positiv,1,655.9699626627662,Dieter,m,Blumen,m
f,25,18,substantiv,f,negativ,1,494.2678468912618,Linda,f,Mode,f
m,27,27,definition,f,NA,0,502.0484447045419,Katharina,f,Mann,m
f,24,10,substantiv,m,neutral,1,638.3847667791542,Ingo,m,Tratsch,m
f,2,3,verb,f,positiv,1,500.99831123770855,Anja,f,tanzen,f
f,3,2,substantiv,f,positiv,1,574.8571396643456,Birgit,f,Familie,f
m,7,19,substantiv,f,negativ,1,622.9238632286069,Helga,f,Glatze,f
f,25,17,adjektiv,m,neutral,1,497.4987044442969,Kurt,m,häuslich,m
m,5,4,verb,f,positiv,1,586.9762777110736,Erna,f,bauen,f
m,1,6,adjektiv,m,positiv,1,497.91384100490177,Albert,m,tapfer,m
m,2,28,definition,m,NA,1,556.1407944305756,Bernhard,m,Vater,m
m,20,10,substantiv,m,neutral,1,913.2727762885224,Ulrich,m,Stammtisch,m
f,28,28,definition,m,NA,1,637.7486524124834,Florian,m,Mutter,m
f,14,16,adjektiv,m,neutral,1,609.6509472572507,Manfred,m,emotional,m
m,18,9,substantiv,m,neutral,1,574.5079332707519,Friedrich,m,Skat,m
m,1,5,verb,f,positiv,1,653.7657719065919,Angelika,f,beschützen,f
m,9,4,verb,m,positiv,1,492.0656116908049,Helmut,m,bauen,m
m,13,22,verb,f,negativ,1,578.0173178434325,Kerstin,f,fluchen,f
m,9,2,substantiv,f,positiv,1,672.9304981497535,Julia,f,Muskeln,f
m,12,25,adjektiv,f,negativ,1,577.2239209172767,Katja,f,grob,f
f,29,23,verb,m,negativ,1,515.907748051859,Thorsten,m,bügeln,m
m,20,7,adjektiv,f,positiv,1,593.2650658114653,Susanne,f,mutig,f
f,26,16,adjektiv,f,neutral,1,538.9911287606992,Nina,f,emotional,f
f,21,7,adjektiv,m,positiv,1,525.0544412767795,Volker,m,fürsorglich,m
f,5,26,adjektiv,m,negativ,1,876.1490636379676,Frank,m,zickig,m
m,23,20,substantiv,m,negativ,1,496.39884398720824,Hannes,m,Schweiss,m
m,0,23,verb,f,negativ,1,632.7734390824844,Annette,f,boxen,f
m,23,1,substantiv,f,positiv,1,651.5132509859995,Kerstin,f,Sport,f
m,6,10,substantiv,f,neutral,1,533.150442304759,Eva,f,Stammtisch,f
f,19,22,verb,f,negativ,1,492.53857683038405,Silke,f,putzen,f
f,4,13,verb,f,neutral,1,469.13113258801786,Claudia,f,kochen,f
f,12,1,substantiv,f,positiv,1,454.30690213424896,Katja,f,Blumen,f
m,26,23,verb,m,negativ,1,435.9783156796766,Hubert,m,boxen,m
m,16,0,substantiv,m,positiv,1,492.26060854107345,Norbert,m,Computer,m
m,14,0,substantiv,f,positiv,1,562.5770873114107,Monika,f,Computer,f
f,6,19,substantiv,f,negativ,1,482.1447977326443,Eva,f,Küche,f
m,25,8,adjektiv,m,positiv,1,424.0072411437268,Kurt,m,stark,m
m,6,1,substantiv,m,positiv,1,429.8403847415102,Fritz,m,Sport,m
m,13,26,adjektiv,m,negativ,1,435.7330331090452,Klaus,m,brutal,m
m,25,9,substantiv,f,neutral,1,507.6687120849783,Linda,f,Skat,f
m,18,11,substantiv,f,neutral,1,600.6796953242883,Sandra,f,Auto,f
f,23,5,verb,f,positiv,1,421.33539318547264,Kerstin,f,backen,f
f,16,9,substantiv,f,neutral,1,517.4984530156053,Renate,f,Haushalt,f
f,14,6,adjektiv,f,positiv,1,422.9822505374159,Monika,f,einfühlsam,f
f,11,21,verb,m,negativ,1,538.2480175551336,Jens,m,spülen,m
f,27,7,adjektiv,f,positiv,1,482.0059532705727,Katharina,f,fürsorglich,f
f,19,12,verb,m,neutral,1,595.6966597709652,Thomas,m,schminken,m
m,30,12,verb,m,neutral,1,557.0188389865507,Alexander,m,kämpfen,m
m,24,18,substantiv,m,negativ,1,570.3473486155417,Ingo,m,Bierbauch,m
m,8,29,definition,f,NA,1,529.9248926889959,Heike,f,Bruder,f
m,2,13,verb,f,neutral,1,511.7485602220313,Anja,f,rasieren,f
f,30,29,definition,m,NA,1,542.3041196577287,Alexander,m,Schwester,m
m,11,6,adjektiv,f,positiv,1,642.2721323519909,Karin,f,tapfer,f
f,22,30,definition,f,NA,1,617.6771070067844,Ulrike,f,Königin,f
f,11,20,substantiv,f,negativ,1,492.2575355249137,Karin,f,Handtasche,f
f,26,18,substantiv,m,negativ,1,515.7258813619592,Hubert,m,Mode,m
f,20,8,adjektiv,m,positiv,1,686.8294713433443,Ulrich,m,zärtlich,m
m,3,24,adjektiv,f,negativ,0,422.76965368500896,Birgit,f,aggressiv,m
m,12,7,adjektiv,m,positiv,1,709.9011187176529,Jürgen,m,mutig,m
m,3,29,definition,m,NA,1,515.3649416336066,Dieter,m,Bruder,m
f,5,26,adjektiv,f,negativ,1,561.4948268564603,Erna,f,zickig,f
f,2,30,definition,m,NA,1,637.2583666359333,Bernhard,m,Königin,m
f,30,0,substantiv,f,positiv,1,515.3959511612811,Franziska,f,Ballett,f
f,1,22,verb,m,negativ,1,530.3257816287896,Albert,m,putzen,m
f,18,25,adjektiv,f,negativ,1,517.3808403023941,Sandra,f,hysterisch,f
f,17,4,verb,f,positiv,1,547.8729838569052,Sabine,f,pflegen,f
