PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,1,0,substantiv,f,positiv,1,1009.3347059471398,Angelika,f,Ballett,"['m', 'f']"
m,1,0,substantiv,m,positiv,1,652.6477527172574,Albert,m,Computer,"['m', 'f']"
f,15,9,substantiv,f,neutral,1,506.5113024143102,Petra,f,Haushalt,"['m', 'f']"
m,0,20,substantiv,m,negativ,1,630.7396610461637,Achim,m,Schweiss,"['m', 'f']"
f,6,4,verb,town,positiv,1,665.1267130318956,Ulm,town,pflegen,town
f,26,28,definition,town,NA,1,585.0128996842159,Marburg,town,Mutter,town
f,28,5,verb,f,positiv,0,532.478569203704,Carolin,f,backen,town
f,27,20,substantiv,f,negativ,1,799.0993268697366,Katharina,f,Handtasche,"['m', 'f']"
m,10,22,verb,town,negativ,1,773.3357172489832,Gera,town,fluchen,town
f,3,13,verb,f,neutral,1,568.5786880735577,Birgit,f,kochen,"['m', 'f']"
m,24,28,definition,town,NA,1,538.5000048888742,Lübeck,town,Vater,town
f,16,21,verb,town,negativ,1,1591.6374846524377,Flensburg,town,spülen,town
m,28,27,definition,town,NA,1,841.1018718859395,Halle,town,Mann,town
f,5,10,substantiv,town,neutral,1,732.0611977220324,Augsburg,town,Tratsch,town
m,11,6,adjektiv,m,positiv,1,669.5781167718451,Jens,m,tapfer,"['m', 'f']"
f,0,22,verb,m,negativ,0,839.4664685038151,Achim,m,putzen,town
f,12,23,verb,m,negativ,1,980.4475149774134,Jürgen,m,bügeln,"['m', 'f']"
m,0,8,adjektiv,town,positiv,1,679.2173306944278,Dortmund,town,stark,town
m,21,2,substantiv,town,positiv,1,1258.8697725550446,Rostock,town,Muskeln,town
f,30,10,substantiv,m,neutral,1,554.0975179806082,Alexander,m,Tratsch,"['m', 'f']"
m,4,29,definition,town,NA,1,595.114742236774,Rudolstadt,town,Bruder,town
m,1,4,verb,f,positiv,1,931.4289944672964,Angelika,f,bauen,"['m', 'f']"
m,10,4,verb,m,positiv,1,600.5511873715932,Horst,m,bauen,"['m', 'f']"
m,17,15,adjektiv,town,neutral,1,639.9983796823108,Braunschweig,town,dominant,town
m,3,20,substantiv,town,negativ,0,802.8950606851595,Hamburg,town,Schweiss,"['m', 'f']"
f,29,17,adjektiv,town,neutral,1,667.6915641512551,Düsseldorf,town,häuslich,town
m,16,14,verb,f,neutral,1,993.8969897011702,Renate,f,rechnen,"['m', 'f']"
m,15,30,definition,m,NA,1,539.9021384002936,Markus,m,König,"['m', 'f']"
f,24,21,verb,f,negativ,1,530.5227340345482,Hanna,f,spülen,"['m', 'f']"
m,25,26,adjektiv,m,negativ,0,580.1715022439566,Kurt,m,brutal,town
f,14,21,verb,m,negativ,1,881.7156929162593,Manfred,m,spülen,"['m', 'f']"
f,5,2,substantiv,f,positiv,1,705.108610172374,Erna,f,Familie,"['m', 'f']"
f,28,17,adjektiv,town,neutral,1,698.0979426152771,Münster,town,häuslich,town
f,22,13,verb,m,neutral,1,578.1220797616697,Wolfgang,m,kochen,"['m', 'f']"
m,4,17,adjektiv,f,neutral,1,751.1826223721982,Claudia,f,groß,"['m', 'f']"
m,24,20,substantiv,f,negativ,1,492.60646255333995,Hanna,f,Schweiss,"['m', 'f']"
