id,cond,n_back,flash_err_rate,rt
15,A2V1LATE,no_back,0.0833333333333333,0.737753961914374
15,A2V1LATE,0_back,0,0.644057109757947
15,A2V1LATE,1_back,0.0833333333333333,0.802986844844947
15,A2V1LATE,2_back,0,0.828721774159931
16,A2V1LATE,no_back,0.166666666666667,0.806613998099541
16,A2V1LATE,0_back,0.25,0.961009174895783
16,A2V1LATE,1_back,0.333333333333333,0.876824504812248
16,A2V1LATE,2_back,0.416666666666667,0.974990725051612
1,A1V2,no_back,0,0.720190341487372
1,A1V2,0_back,0.0833333333333333,0.746300905593671
1,A1V2,1_back,0.0833333333333333,0.69711775269631
1,A1V2,2_back,0.0833333333333333,0.691189293119047
2,A1V2,no_back,0.166666666666667,0.621286466020138
2,A1V2,0_back,0,0.621874875566088
2,A1V2,1_back,0,0.601495556296262
2,A1V2,2_back,0.0833333333333333,0.711726076582636
3,A1V2,no_back,0.0833333333333333,0.428966535474804
3,A1V2,0_back,0,0.526827954853312
3,A1V2,1_back,0.0833333333333333,0.507507568247092
3,A1V2,2_back,0,0.516802381504628
4,A1V2,no_back,0.25,0.786700969219964
4,A1V2,0_back,0.166666666666667,0.987298484956475
4,A1V2,1_back,0.25,0.957520874496064
4,A1V2,2_back,0,1.04308187708496
5,A1V2,no_back,0.0833333333333333,0.63303628659196
5,A1V2,0_back,0.166666666666667,0.741492340498856
5,A1V2,1_back,0,0.762975348101463
5,A1V2,2_back,0,0.750219013961517
6,A1V2,no_back,0,0.49125006836501
6,A1V2,0_back,0,0.634215473669277
6,A1V2,1_back,0,0.61313417576495
6,A1V2,2_back,0,0.517058477026846
7,A1V2,no_back,0.5,0.803033466640803
7,A1V2,0_back,0.25,0.853203045337295
7,A1V2,1_back,0.166666666666667,1.00781792909508
7,A1V2,2_back,0.166666666666667,0.765303778040713
8,A1V2,no_back,0.416666666666667,0.670223120009723
8,A1V2,0_back,0,0.677073987334552
8,A1V2,1_back,0.0833333333333333,0.619233767016643
8,A1V2,2_back,0.25,0.767160335371955
9,A1V2,no_back,0.333333333333333,1.18057332954534
9,A1V2,0_back,0.25,0.901125493847455
9,A1V2,1_back,0.416666666666667,0.9609508230298
9,A1V2,2_back,0.333333333333333,0.917748337076773
10,A1V2,no_back,1,0.566767965055381
10,A1V2,0_back,1,0.789639602948834
10,A1V2,1_back,0.75,0.728773616201414
10,A1V2,2_back,0.916666666666667,0.70251608456866
11,A1V2,no_back,0,0.508827633660985
11,A1V2,0_back,0.0833333333333333,0.610348595037067
11,A1V2,1_back,0,0.567360429694721
11,A1V2,2_back,0.0833333333333333,0.684913342901079
12,A1V2,no_back,0.166666666666667,0.745764710220928
12,A1V2,0_back,0,0.783053555542968
12,A1V2,1_back,0.0833333333333333,0.779350312105635
12,A1V2,2_back,0,0.72873219520261
13,A1V2,no_back,0.25,0.488882889721935
13,A1V2,0_back,0.25,0.54768487191086
13,A1V2,1_back,0.166666666666667,0.550588115102679
13,A1V2,2_back,0.166666666666667,0.539565713023876
14,A1V2,no_back,0,0.646592276010779
14,A1V2,0_back,0,0.653663408964348
14,A1V2,1_back,0,0.603188917186041
14,A1V2,2_back,0,0.536868993496682
15,A1V2,no_back,0.166666666666667,0.742547909185911
15,A1V2,0_back,0,0.755502029554918
15,A1V2,1_back,0.25,0.805240196218206
15,A1V2,2_back,0.166666666666667,0.980141875043046
16,A1V2,no_back,0.75,0.681962023877228
16,A1V2,0_back,0.333333333333333,0.898115420502356
16,A1V2,1_back,0.75,0.887065094176003
16,A1V2,2_back,0.416666666666667,0.936283740168437
