PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
m,2,1,substantiv,m,positiv,1,723.6500728444639,Bernhard,m,Sport,"['m', 'f']"
m,7,17,adjektiv,m,neutral,1,498.74076174484117,Georg,m,groß,"['m', 'f']"
m,21,27,definition,town,NA,1,466.357316362803,Heidelberg,town,Mann,town
m,1,18,substantiv,f,negativ,1,484.85994728378046,Angelika,f,Bierbauch,"['m', 'f']"
f,29,7,adjektiv,m,positiv,1,604.8894482399305,Thorsten,m,fürsorglich,"['m', 'f']"
m,18,3,verb,town,positiv,1,575.9198445612697,Aachen,town,reparieren,town
f,11,8,adjektiv,f,positiv,1,492.37933871484074,Karin,f,zärtlich,"['m', 'f']"
m,27,21,verb,f,negativ,1,459.99952507935404,Katharina,f,saufen,"['m', 'f']"
f,4,26,adjektiv,f,negativ,1,447.2473456821717,Claudia,f,zickig,"['m', 'f']"
m,20,12,verb,f,neutral,1,493.1478721457552,Susanne,f,kämpfen,"['m', 'f']"
f,17,16,adjektiv,f,neutral,1,538.8710017613789,Sabine,f,emotional,"['m', 'f']"
m,28,19,substantiv,town,negativ,0,471.16323443344754,Ahlen,town,Glatze,"['m', 'f']"
m,26,10,substantiv,town,neutral,1,524.8032920385413,Dortmund,town,Stammtisch,town
m,25,3,verb,f,positiv,1,593.8964309709718,Linda,f,reparieren,"['m', 'f']"
f,24,19,substantiv,town,negativ,1,576.6710573550426,Frankfurt,town,Küche,town
f,5,15,adjektiv,town,neutral,1,602.5187558753942,Düsseldorf,town,sensibel,town
m,6,11,substantiv,m,neutral,1,511.11188712530975,Fritz,m,Auto,"['m', 'f']"
m,14,6,adjektiv,m,positiv,1,670.0921485831373,Manfred,m,tapfer,"['m', 'f']"
f,25,27,definition,m,NA,1,617.4466307868443,Kurt,m,Frau,"['m', 'f']"
m,14,14,verb,town,neutral,1,592.3948434787007,Leipzig,town,rechnen,town
f,30,0,substantiv,town,positiv,1,669.1925929133618,Ulm,town,Ballett,town
f,19,27,definition,town,NA,1,569.4757294572241,München,town,Frau,town
f,21,15,adjektiv,m,neutral,1,732.1335532867579,Volker,m,sensibel,"['m', 'f']"
