PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,25,5,verb,town,positiv,1,704.3724830949145,Leipzig,town,backen,town
f,25,16,adjektiv,m,neutral,1,682.5476422282577,Kurt,m,emotional,"['m', 'f']"
f,10,16,adjektiv,f,neutral,1,492.26424028751126,Daniela,f,emotional,"['m', 'f']"
f,15,28,definition,town,NA,1,522.2568790167657,Rudolstadt,town,Mutter,town
f,19,0,substantiv,m,positiv,1,608.6740074506451,Thomas,m,Ballett,"['m', 'f']"
m,19,29,definition,town,NA,1,492.7461451105728,Cottbus,town,Bruder,town
m,1,21,verb,town,negativ,1,626.6964097392247,Potsdam,town,saufen,town
m,12,13,verb,town,neutral,1,535.2479155870355,München,town,rasieren,town
m,19,30,definition,m,NA,1,521.9384027858496,Thomas,m,König,"['m', 'f']"
m,22,5,verb,f,positiv,1,672.353888552891,Ulrike,f,beschützen,"['m', 'f']"
f,14,21,verb,town,negativ,1,645.8600185219439,Heidelberg,town,spülen,town
f,1,25,adjektiv,town,negativ,1,698.8474792187276,Bottrop,town,hysterisch,town
f,20,3,verb,f,positiv,1,432.8091978170505,Susanne,f,tanzen,"['m', 'f']"
m,25,25,adjektiv,f,negativ,1,533.3627597920554,Linda,f,grob,"['m', 'f']"
m,20,10,substantiv,town,neutral,1,632.0585437534305,Koblenz,town,Stammtisch,town
f,2,30,definition,town,NA,1,620.5819454707466,Braunschweig,town,Königin,town
f,12,17,adjektiv,f,neutral,1,756.8939627801683,Katja,f,häuslich,"['m', 'f']"
m,23,24,adjektiv,town,negativ,1,552.0170859704194,Freiburg,town,aggressiv,town
f,30,11,substantiv,f,neutral,1,443.1976689774615,Franziska,f,Diät,"['m', 'f']"
f,3,4,verb,town,positiv,1,555.9513848826896,Bremen,town,pflegen,town
f,30,5,verb,m,positiv,1,607.1056516958606,Alexander,m,backen,"['m', 'f']"
m,2,3,verb,m,positiv,1,659.1921598973158,Bernhard,m,reparieren,"['m', 'f']"
m,3,8,adjektiv,town,positiv,1,724.4593935821513,Bremen,town,stark,town
f,5,30,definition,f,NA,1,626.8637494430322,Erna,f,Königin,"['m', 'f']"
f,1,19,substantiv,m,negativ,1,887.4041253845917,Albert,m,Küche,"['m', 'f']"
m,24,18,substantiv,town,negativ,1,841.1052242673804,Gera,town,Bierbauch,town
m,7,11,substantiv,town,neutral,1,705.8673658244743,Rostock,town,Auto,town
f,29,16,adjektiv,town,neutral,1,588.0708302312314,Krefeld,town,emotional,town
f,20,8,adjektiv,town,positiv,1,587.9213698948433,Koblenz,town,zärtlich,town
f,30,6,adjektiv,town,positiv,1,571.7388662525309,Augsburg,town,einfühlsam,town
f,13,18,substantiv,f,negativ,1,539.1179605229581,Kerstin,f,Mode,"['m', 'f']"
f,3,27,definition,f,NA,1,498.04933308564614,Birgit,f,Frau,"['m', 'f']"
m,15,29,definition,town,NA,1,607.9839756170031,Rudolstadt,town,Bruder,town
f,17,28,definition,town,NA,1,1244.10700242629,Kiel,town,Mutter,town
m,29,19,substantiv,m,negativ,1,564.8161987068079,Thorsten,m,Glatze,"['m', 'f']"
m,3,16,adjektiv,m,neutral,1,532.2106580584887,Dieter,m,sachlich,"['m', 'f']"
f,0,1,substantiv,town,positiv,1,654.8762482383381,Weimar,town,Blumen,town
f,10,14,verb,m,neutral,1,659.8659885543157,Horst,m,nähen,"['m', 'f']"
m,3,23,verb,f,negativ,1,565.150040019148,Birgit,f,boxen,"['m', 'f']"
m,14,20,substantiv,f,negativ,1,636.5303411466812,Monika,f,Schweiss,"['m', 'f']"
m,27,3,verb,f,positiv,1,509.3155694369216,Katharina,f,reparieren,"['m', 'f']"
m,25,0,substantiv,town,positiv,1,671.5264090827304,Leipzig,town,Computer,town
m,17,5,verb,town,positiv,1,453.00534006412363,Kiel,town,beschützen,town
m,6,17,adjektiv,m,neutral,1,617.9953038723625,Fritz,m,groß,"['m', 'f']"
m,13,29,definition,f,NA,1,514.3321288040852,Kerstin,f,Bruder,"['m', 'f']"
m,23,28,definition,f,NA,1,460.5247314951839,Kerstin,f,Vater,"['m', 'f']"
f,19,1,substantiv,town,positiv,1,517.7968149583876,Wolfsburg,town,Blumen,town
f,7,23,verb,town,negativ,1,532.2447406024367,Rostock,town,bügeln,town
f,23,22,verb,f,negativ,1,574.9009999874488,Kerstin,f,putzen,"['m', 'f']"
m,16,22,verb,town,negativ,1,1090.522957526673,Konstanz,town,fluchen,town
f,27,8,adjektiv,town,positiv,1,804.2200894246889,Minden,town,zärtlich,town
m,2,1,substantiv,town,positiv,1,608.2722804155765,Karlsruhe,town,Sport,town
f,26,14,verb,town,neutral,1,532.3511787113375,Düsseldorf,town,nähen,town
m,11,30,definition,f,NA,1,1022.9959394280286,Karin,f,König,"['m', 'f']"
f,30,13,verb,town,neutral,1,707.5404834972687,Ahlen,town,kochen,town
m,25,4,verb,m,positiv,1,741.7261132350177,Kurt,m,bauen,"['m', 'f']"
f,28,10,substantiv,f,neutral,1,556.6039817909996,Carolin,f,Tratsch,"['m', 'f']"
m,23,16,adjektiv,town,neutral,1,599.738234887468,Nürnberg,town,sachlich,town
m,23,25,adjektiv,m,negativ,1,595.8528248701214,Hannes,m,grob,"['m', 'f']"
m,20,21,verb,f,negativ,1,499.6632253540838,Susanne,f,saufen,"['m', 'f']"
f,14,8,adjektiv,m,positiv,1,1105.6497403999401,Manfred,m,zärtlich,"['m', 'f']"
f,15,11,substantiv,town,neutral,1,627.8015781334716,Suhl,town,Diät,town
m,21,3,verb,town,positiv,1,621.424510657107,Rostock,town,reparieren,town
f,25,9,substantiv,f,neutral,1,493.72839285445025,Linda,f,Haushalt,"['m', 'f']"
f,23,19,substantiv,town,negativ,1,515.6775511972,Nürnberg,town,Küche,town
f,28,11,substantiv,m,neutral,1,690.1365955728807,Florian,m,Diät,"['m', 'f']"
f,14,21,verb,town,negativ,1,907.847785123522,Münster,town,spülen,town
f,19,21,verb,f,negativ,1,942.026989463784,Silke,f,spülen,"['m', 'f']"
f,22,9,substantiv,town,neutral,1,788.9019414478753,Kassel,town,Haushalt,town
m,25,5,verb,town,positiv,1,548.7538220639863,Hamburg,town,beschützen,town
f,13,0,substantiv,town,positiv,1,627.6448543040942,Regensburg,town,Ballett,town
f,28,13,verb,town,neutral,1,944.2060373594359,Essen,town,kochen,town
f,21,25,adjektiv,town,negativ,1,671.0679709292435,Magdeburg,town,hysterisch,town
m,13,27,definition,m,NA,1,540.5617194364822,Klaus,m,Mann,"['m', 'f']"
f,14,28,definition,f,NA,1,691.4683290752919,Monika,f,Mutter,"['m', 'f']"
m,6,20,substantiv,town,negativ,1,757.1607564648275,Jena,town,Schweiss,town
f,12,21,verb,m,negativ,1,744.3141516589549,Jürgen,m,spülen,"['m', 'f']"
m,6,8,adjektiv,town,positiv,1,583.210435963224,Ulm,town,stark,town
f,5,2,substantiv,town,positiv,1,674.808390451858,Wiesbaden,town,Familie,town
m,13,6,adjektiv,town,positiv,1,544.3390151541507,Regensburg,town,tapfer,town
f,3,11,substantiv,town,neutral,1,479.2215211709845,Frankfurt,town,Diät,town
m,14,11,substantiv,m,neutral,1,636.6870649760585,Manfred,m,Auto,"['m', 'f']"
f,11,3,verb,town,positiv,0,429.47804818766144,Dortmund,town,tanzen,"['m', 'f']"
f,8,4,verb,town,positiv,1,730.0503276254631,Aachen,town,pflegen,town
m,24,10,substantiv,m,neutral,1,604.6869085316757,Ingo,m,Stammtisch,"['m', 'f']"
f,8,14,verb,f,neutral,1,520.8041804195318,Heike,f,nähen,"['m', 'f']"
f,21,27,definition,town,NA,1,767.2086815503008,Rostock,town,Frau,town
m,26,16,adjektiv,town,neutral,1,526.5976541711552,Halle,town,sachlich,town
m,29,24,adjektiv,town,negativ,1,637.0239793045585,Hannover,town,aggressiv,town
m,30,25,adjektiv,town,negativ,1,517.805475276873,Ahlen,town,grob,town
f,5,20,substantiv,town,negativ,1,596.2559487309136,Dresden,town,Handtasche,town
f,0,27,definition,m,NA,1,876.095704901104,Achim,m,Frau,"['m', 'f']"
f,17,15,adjektiv,f,neutral,1,513.5337033058249,Sabine,f,sensibel,"['m', 'f']"
f,18,12,verb,town,neutral,1,571.7341170455938,Marburg,town,schminken,town
f,7,7,adjektiv,town,positiv,1,643.1317388103253,Passau,town,fürsorglich,town
m,18,14,verb,town,neutral,1,451.9158161162977,Marburg,town,rechnen,town
f,15,25,adjektiv,m,negativ,1,576.94455580247,Markus,m,hysterisch,"['m', 'f']"
f,0,4,verb,f,positiv,1,588.5465890218029,Annette,f,pflegen,"['m', 'f']"
m,8,10,substantiv,f,neutral,1,556.3888706525404,Heike,f,Stammtisch,"['m', 'f']"
m,9,15,adjektiv,f,neutral,1,487.53151587709453,Julia,f,dominant,"['m', 'f']"
m,9,27,definition,town,NA,1,577.2940415612311,Göttingen,town,Mann,town
m,17,25,adjektiv,town,negativ,1,828.8584163628911,Mannheim,town,grob,town
m,5,28,definition,town,NA,1,449.402647543252,Dresden,town,Vater,town
m,30,3,verb,town,positiv,1,478.44795916796556,Augsburg,town,reparieren,town
m,21,30,definition,town,NA,1,451.93006373722255,Magdeburg,town,König,town
f,22,12,verb,town,neutral,1,472.97128545665146,Berlin,town,schminken,town
f,25,17,adjektiv,town,neutral,1,486.4894839986391,Hamburg,town,häuslich,town
